CANSIM SERIES V382882
TABLE NUMBER: 32100112
TABLE TITLE: PRODUCTION OF SELECTED DAIRY PRODUCTS
Data Sources: IMDB (Integrated Meta Data Base) Numbers:
3430 - MONTHLY DAIRY FACTORY PRODUCTION AND STOCKS SURVEY
SERIES TITLE: CANADA [11124]; BRICK CHEESE (Tonnes)
SERIES FREQUENCY: Monthly
SCALING FACTOR: units
DECIMALS: 0

Year       Jan/May/Sep     Feb/Jun/Oct     Mar/Jul/Nov     Apr/Aug/Dec

1987	         635	         430	         562	         550	
	         740	         506	         621	         602	
	         535	         604	         563	         500	
1988	         617	         677	         521	         482	
	         799	         627	         627	         725	
	         707	         720	         660	         756	
1989	         525	         609	         662	         538	
	         705	         567	         511	         666	
	         539	         596	         530	         593	
1990	         516	         464	         557	         521	
	         527	         473	         497	         519	
	         483	         568	         486	         469	
1991	         489	         461	         484	         495	
	         594	         447	         549	         596	
	         464	         461	         448	         404	
1992	         560	         380	         411	         451	
	         461	         513	         457	         415	
	         479	         411	         458	         442	
1993	         405	         375	         470	         385	
	         339	         345	         369	         319	
	         453	         385	         482	         539	
1994	         397	         413	         403	         424	
	         426	         377	         414	         438	
	         480	         481	         513	         329	
1995	         297	         320	         355	         290	
	         379	         300	         356	         439	
	         425	         301	         371	         300	
1996	         284	         249	         253	         421	
	         317	         400	         394	         354	
	         342	         399	         300	         495	
1997	         505	         318	         377	         456	
	         346	         467	         364	         373	
	         436	         340	         276	         413	
1998	         372	         367	         502	         470	
	         440	         438	         440	         460	
	         559	         497	         516	         551	
1999	         387	         486	         494	         484	
	         345	         458	         379	         679	
	         516	         519	         515	         502	
2000	         431	         468	         468	         374	
	         432	         394	         521	         526	
	         595	         439	         549	         499	
2001	         531	         282	         567	         454	
	         479	         425	         369	         358	
	         395	         487	         456	         464	
2002	         496	         359	         484	         551	
	         338	         432	         351	         393	
	         387	         501	         447	         417	
2003	         408	         355	         290	         310	
	         397	         369	         274	         348	
	         399	         404	         372	         370	
2004	         620	         303	         407	         301	
	         359	         402	         285	         387	
	         375	         350	         349	         436	
2005	         353	         180	         233	         326	
	         280	         374	         435	         370	
	         317	         376	         358	         275	
2006	         370	         323	         261	         317	
	         405	         372	         307	         449	
	         472	         329	         169	         283	
2007	         298	         207	         295	         340	
	         405	         345	         375	         343	
	         388	         452	         432	         462	
2008	         686	         716	         815	         482	
	         446	         432	         415	         449	
	         443	         435	         365	         462	
2009	         358	         275	         469	         308	
	         298	         334	         363	         258	
	         267	         362	         343	         396	
2010	         366	         286	         349	         319	
	         363	         425	         294	         351	
	         339	         380	         346	         318	
2011	         362	         284	         324	         203	
	         359	         248	         272	         416	
	         208	         296	         341	         331	
2012	         415	         411	         399	         483	
	         465	         340	         254	         548	
	         330	         377	         316	         441	
2013	         239	         240	         236	         343	
	         278	         337	         289	         352	
	         352	         288	         227	         296	
2014	         326	         192	         306	         193	
	         272	         227	         253	         115	
	         189	         229	         369	         251	
2015	         199	         117	         265	         141	
	         245	         267	         242	         287	
	         213	         328	         161	         165	
2016	         392	         301	         175	         309	
	         214	         269	         273	         172	
	         251	         380	         286	         250	
2017	         343	         184	         359	         173	
	         218	         305	         253	         360	
	         387	         494	         345	         183	
2018	         247	         214	         225	         513	
	         281	         299	         436	         271	
	         248	         427	         398	         351	
2019	         376	         279	         429	         398	
	         219	         284	         245	         371	
	         496	         393	         246	         197	
2020	         244	         204	         248	         267	
	         354	         316	         238	         258	
	         217	         411	         423	         304	
2021	         118	         134	         231	         218	
	         239	         227	         206	         n/a	
	         n/a	         n/a	         n/a	         n/a	

This page was generated automatically by a data retrieval program. Maintained by: Computing in the Humanities and Social Sciences (CHASS), University of Toronto. Please report ONLY technical problems to CANSIM server support.
