Statistics Canada, CANSIM using CHASS.

COL0  - Date (YYYY-MM-DD) 
COL1  - v31212164 Ontario [35]; Unprocessed milk from bovine (Dollars per kilolitre) [11612111] 

COL0               COL1  

1996-08          506.43  
1996-09          569.20  
1996-10          549.31  
1996-11          536.56  
1996-12          529.31  
1997-01          498.43  
1997-02          507.17  
1997-03          510.63  
1997-04          504.03  
1997-05          498.78  
1997-06          477.96  
1997-07          394.08  
1997-08          495.49  
1997-09          495.59  
1997-10          506.69  
1997-11          517.52  
1997-12          518.36  
1998-01          468.76  
1998-02          510.10  
1998-03          498.70  
1998-04          489.90  
1998-05          489.11  
1998-06          490.32  
1998-07          483.21  
1998-08          500.70  
1998-09          506.76  
1998-10          530.58  
1998-11          540.10  
1998-12          538.99  
1999-01          514.25  
1999-02          483.95  
1999-03          506.55  
1999-04          486.64  
1999-05          499.93  
1999-06          484.47  
1999-07          478.59  
1999-08          481.96  
1999-09          510.66  
1999-10          532.50  
1999-11          526.54  
1999-12          530.63  
2000-01          515.45  
2000-02          527.83  
2000-03          519.35  
2000-04          515.12  
2000-05          517.34  
2000-06          515.65  
2000-07          518.82  
2000-08          518.58  
2000-09          533.07  
2000-10          547.99  
2000-11          552.90  
2000-12          561.13  
2001-01          517.62  
2001-02          546.97  
2001-03          540.02  
2001-04          520.00  
2001-05          522.96  
2001-06          543.37  
2001-07          524.91  
2001-08          530.52  
2001-09          531.06  
2001-10          556.22  
2001-11          556.78  
2001-12          544.60  
2002-01          519.27  
2002-02          532.62  
2002-03          526.27  
2002-04          481.44  
2002-05          511.31  
2002-06          502.98  
2002-07          512.05  
2002-08          531.94  
2002-09          551.54  
2002-10          553.42  
2002-11          579.39  
2002-12          583.17  
2003-01          534.24  
2003-02          611.19  
2003-03          585.71  
2003-04          592.30  
2003-05          580.11  
2003-06          539.12  
2003-07          565.98  
2003-08          600.36  
2003-09          581.52  
2003-10          606.25  
2003-11          605.71  
2003-12          593.02  
2004-01          587.38  
2004-02          608.44  
2004-03          580.29  
2004-04          569.03  
2004-05          571.18  
2004-06          563.23  
2004-07          589.67  
2004-08          607.71  
2004-09          609.52  
2004-10          599.89  
2004-11          611.60  
2004-12          634.92  
2005-01          605.45  
2005-02          686.87  
2005-03          629.97  
2005-04          644.73  
2005-05          615.51  
2005-06          597.52  
2005-07          626.15  
2005-08          612.80  
2005-09          645.46  
2005-10          667.43  
2005-11          670.40  
2005-12          676.53  
2006-01          651.50  
2006-02          661.13  
2006-03          651.83  
2006-04          674.94  
2006-05          652.79  
2006-06          627.17  
2006-07          645.52  
2006-08          650.95  
2006-09          663.13  
2006-10          653.27  
2006-11          677.16  
2006-12          689.48  
2007-01          657.15  
2007-02          707.03  
2007-03          686.99  
2007-04          671.52  
2007-05          681.16  
2007-06          663.36  
2007-07          674.21  
2007-08          690.31  
2007-09          681.67  
2007-10          704.91  
2007-11          703.25  
2007-12          715.85  
2008-01          673.46  
2008-02          709.40  
2008-03          701.32  
2008-04          633.53  
2008-05          704.53  
2008-06          673.14  
2008-07          677.16  
2008-08          700.60  
2008-09          716.21  
2008-10          688.53  
2008-11          722.43  
2008-12          732.85  
2009-01          698.58  
2009-02          730.43  
2009-03          702.31  
2009-04          677.41  
2009-05          730.94  
2009-06          695.31  
2009-07          683.96  
2009-08          674.81  
2009-09          707.38  
2009-10          691.14  
2009-11          718.76  
2009-12          733.79  
2010-01          716.27  
2010-02          714.13  
2010-03          727.03  
2010-04          695.30  
2010-05          708.83  
2010-06          686.83  
2010-07          690.15  
2010-08          700.70  
2010-09          701.05  
2010-10          723.46  
2010-11          733.27  
2010-12          742.37  
2011-01          747.01  
2011-02          739.65  
2011-03          750.62  
2011-04          757.77  
2011-05          740.93  
2011-06          708.56  
2011-07          717.09  
2011-08          721.83  
2011-09          732.11  
2011-10          772.64  
2011-11          762.07  
2011-12          777.16  
2012-01          753.60  
2012-02          764.28  
2012-03          720.27  
2012-04          737.12  
